HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,178761
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,65929
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,170796
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,125221
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,238938
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,131858
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,314159
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,68141
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,256637
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,96460
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,71238
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,199115
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,402654
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,101548
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,74336
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,142477
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,143362
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,80530
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,87610
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,366371
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,255752
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,282566
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,226548
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,227433
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,241592
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,291150
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,75221
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,300884
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,129646
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,382300
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,351247
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,196460
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,1327,166371
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,295460
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,124778
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,871,104867
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,408849
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,265486
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,198256
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,204424
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,315929
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,159292
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,2003,5,907,123008
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,218584
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,96017
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,190265
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,352212
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,283185
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,387610
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,91592
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,92920
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,371681
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,104424
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,228318
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,229106
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,325221
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,109734
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,295575
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,161504
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,298230
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,307079
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,208584
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,261061
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,343362
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,61946
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,349557
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,190265
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,79646
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,429203
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,2003,5,907,119469
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,203539
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,253982
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,371681
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,154159
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,408849
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,385840
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,155752
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,55752
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,376106
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,307079
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,196460
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,211946
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,141592
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,159734
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,198230
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,65929
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75504
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,528318
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,223893
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,347787
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,215044
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,115929
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,331858
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,72654
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,221238
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,353982
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,914,411504
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,198230
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,299115
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,362831
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,194690
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,203539
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,184955
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,181415
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,210619
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,207079
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,914,345132
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,70796
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,168761
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,182300
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,451,46902
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,2003,5,907,117699
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,249557
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,245575
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,349557
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,498,44690
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,100884
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,386469
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,242477
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,146017
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,261592
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,357522
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,302654
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,207964
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,199115
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,432743
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,292035
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,260176
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,209734
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,274336
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,295575
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,170353
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,221238
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,137168
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,346902
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,172566
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,215929
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,314159
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,165486
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,57079
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,115044
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,134513
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,211504
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,267256
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,415929
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,331858
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,176106
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,192,74336
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,104424
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,187610
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,453982
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,181415
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,191150
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,336283
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,194690
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,278318
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,287610
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,152212
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,157079
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,266371
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,199115
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,326548
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,241592
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,84955
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,460176
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,327433
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,216814
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,202654
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,191150
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,214159
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,184070
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,88495
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,148672
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,43362
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,348672
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,427433
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,163716
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,343628
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,166814
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,72256
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,262831
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,368141
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,123008
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,150778
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,433628
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,307079
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,250442
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,219469
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,180973
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,176991
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,272566
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,225663
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,194690
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,247787
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,1980,9,736,61946
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,217699
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,328318
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,141592
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,255442
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,274336
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,140707
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1448,341592
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,230088
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,274336
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,331858
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,79203
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,529203
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,269911
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,336283
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,353982
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,140380
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,127876
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,362831
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,176991
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,156637
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,327433
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,153982
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,106194
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,201769
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,270796
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,420353
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,907,331858
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,230088
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,117699
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,61946
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,128318
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,343362
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,367256
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,153539
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,128938
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,255309
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,340707
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,414159
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,183185
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,138495
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,279646
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,402654
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,448672
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,238938
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,265486
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,323893
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,320469
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,291150
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,243362
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,338938
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,221238
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,1327,203539
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,246902
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,52212
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,871,233185
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,178318
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,84070
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,164601
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,252814
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,376991
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,243362
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,288053
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,176991
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,307964
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,128318
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,192035
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1088,442477
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,215929
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,111504
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,469026
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,73451
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,209734
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,238938
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,264601
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,176991
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,174336
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,141592
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,157522
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,161061
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,365486
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,215044
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,90707
